Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/QmPKAFpedQPxREJZzQB9oQinm2NW7JQ3mPt9DHRGgfJmPX	Crusty Demons #1		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmUkT3uVheDQH1WsrWpqyazGtANriLTxrTvABWamHNnfLS/metadata1.json
https://ipfs.infura.io/ipfs/QmSy97SyKb6PVokWHoxbs17ggq1B49kqhXHPNc4WUBYoxX	Crusty Demons #2		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/Qmad5qJHYwkQcv6nKPxeDYs9nfxcdzwTpiraPzo6vp9Ajm/metadata2.json
https://ipfs.infura.io/ipfs/QmeuKvdSqhnX7H8j6qh6vRbry6ffeVmYWPKWGvKLo1Zfrg	Crusty Demons #3		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmW3SfkkXsMcngcUd16ZT7PkXGnX41XJNnsqpNtp2iPBYd/metadata3.json
https://ipfs.infura.io/ipfs/QmTtMCNfbkWqM5WvwU6jXPvsYSeNzd2w2NJbYwqcyVWeDq	Crusty Demons #4		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmUuPRt75Tz4iDytVZSVrNjxaSDVFBdSfidQgfvjAnhHJN/metadata4.json
https://ipfs.infura.io/ipfs/QmaLrz11QaiMYGEsYZZxEwvFbzEHx8QazUYvLLvHBw3scL	Crusty Demons #5		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmXNJiGmbGdGUTNXCQpkSUGWRqMRNdiA9qZLVqWgL5uW9V/metadata5.json
https://ipfs.infura.io/ipfs/QmT3pi4BdQCS6kWB4nsJJ3JGDxjmaMKrdUDMwPr7hMLaNU	Crusty Demons #6		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/Qma2T9bRCa83xD5Rdgqkru38ZKQeyCQH2p33PNnevJN9Kj/metadata6.json
https://ipfs.infura.io/ipfs/Qmf3vE8QpnQXQHeXxMmPp3iowXiYdgPqgog15CHwobx54U	Crusty Demons #7		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/Qmck273sJRuZAEqMTSRdERcdK2Qq3eLnfrW6xhhFBGuqwD/metadata7.json
https://ipfs.infura.io/ipfs/QmPcXbgTbCV2AvSaRnjGZsvEutkPiThGebGe7hQkBMcifS	Crusty Demons #8		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmNgZ4hH8bjyPPNdYhFVFTf2vxraaKRGuHW34XUwHft6jq/metadata8.json
https://ipfs.infura.io/ipfs/QmXRfb1pcNbXdyGrpzXC4aj14RfajVeiKvkKEfErKthEr2	Crusty Demons #9		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmY2VFUzu5JWUFRuaDdtMLkSoF2tM2KJZrQnY1VQLHktPR/metadata9.json
https://ipfs.infura.io/ipfs/Qmdhpkf9UMxdo7exK4aZ22PWT2QyZwknY96xgSvX2JtCJT	Crusty Demons #10		Crusty Demons NFTs, a world of exciting utility.	https://ipfs.infura.io/ipfs/QmbNtYBkUNfYfpRtb1cc5RKWXZpV5ht98tHSi25WG51smQ/metadata10.json
